,Date,Currency,Purchase_Price,Transfer_Price,Price
0,2020-03-14,USD,"23,120.00","23,150.00","23,290.00"
1,2020-03-14,EUR,"25,466.52","25,723.76","26,630.13"
2,2020-03-14,JPY,213.69,215.85,224.59
3,2020-03-14,KRW,16.43,18.25,19.99
4,2020-03-14,SGD,"16,183.12","16,346.59","16,558.18"
5,2020-03-14,AUD,"14,231.77","14,375.53","14,826.13"
6,2020-03-14,CAD,"16,331.94","16,496.91","16,844.69"
7,2020-03-14,CHF,"24,082.14","24,325.39","24,838.20"
8,2020-03-14,DKK,0.00,"3,416.18","3,544.47"
9,2020-03-14,GBP,"28,667.93","28,957.50","29,273.74"
10,2020-03-14,HKD,"2,934.13","2,963.77","3,008.15"
11,2020-03-14,INR,0.00,310.67,322.86
12,2020-03-14,KWD,0.00,"75,378.04","78,335.63"
13,2020-03-14,MYR,0.00,"5,356.69","5,469.61"
14,2020-03-14,NOK,0.00,"2,233.00","2,326.14"
15,2020-03-14,RUB,0.00,310.36,345.83
16,2020-03-14,SEK,0.00,"2,336.74","2,424.50"
17,2020-03-14,THB,638.13,709.03,741.57
18,2020-03-15,USD,"23,120.00","23,150.00","23,290.00"
19,2020-03-15,EUR,"25,466.52","25,723.76","26,630.13"
20,2020-03-15,JPY,213.69,215.85,224.59
21,2020-03-15,KRW,16.43,18.25,19.99
22,2020-03-15,SGD,"16,183.12","16,346.59","16,558.18"
23,2020-03-15,AUD,"14,231.77","14,375.53","14,826.13"
24,2020-03-15,CAD,"16,331.94","16,496.91","16,844.69"
25,2020-03-15,CHF,"24,082.14","24,325.39","24,838.20"
26,2020-03-15,DKK,0.00,"3,416.18","3,544.47"
27,2020-03-15,GBP,"28,667.93","28,957.50","29,273.74"
28,2020-03-15,HKD,"2,934.13","2,963.77","3,008.15"
29,2020-03-15,INR,0.00,310.67,322.86
30,2020-03-15,KWD,0.00,"75,378.04","78,335.63"
31,2020-03-15,MYR,0.00,"5,356.69","5,469.61"
32,2020-03-15,NOK,0.00,"2,233.00","2,326.14"
33,2020-03-15,RUB,0.00,310.36,345.83
34,2020-03-15,SEK,0.00,"2,336.74","2,424.50"
35,2020-03-15,THB,638.13,709.03,741.57
36,2020-03-16,USD,"23,120.00","23,150.00","23,290.00"
37,2020-03-16,EUR,"25,466.52","25,723.76","26,630.13"
38,2020-03-16,JPY,213.69,215.85,224.59
39,2020-03-16,KRW,16.43,18.25,19.99
40,2020-03-16,SGD,"16,183.12","16,346.59","16,558.18"
41,2020-03-16,AUD,"14,231.77","14,375.53","14,826.13"
42,2020-03-16,CAD,"16,331.94","16,496.91","16,844.69"
43,2020-03-16,CHF,"24,082.14","24,325.39","24,838.20"
44,2020-03-16,DKK,0.00,"3,416.18","3,544.47"
45,2020-03-16,GBP,"28,667.93","28,957.50","29,273.74"
46,2020-03-16,HKD,"2,934.13","2,963.77","3,008.15"
47,2020-03-16,INR,0.00,310.67,322.86
48,2020-03-16,KWD,0.00,"75,378.04","78,335.63"
49,2020-03-16,MYR,0.00,"5,356.69","5,469.61"
50,2020-03-16,NOK,0.00,"2,233.00","2,326.14"
51,2020-03-16,RUB,0.00,310.36,345.83
52,2020-03-16,SEK,0.00,"2,336.74","2,424.50"
53,2020-03-16,THB,638.13,709.03,741.57
